user_id,timestamp,action,book_title
Alex,2025-05-28 13:33:18,searched,Harry Potter and the Chamber of Secrets (Book 2)
Alex,2025-05-28 13:33:24,searched,Harry Potter and the Goblet of Fire (Book 4)
Alex,2025-05-28 13:33:30,searched,Harry Potter and the Goblet of Fire (Book 4)
Alex,2025-05-28 13:33:30,liked,Harry Potter and the Chamber of Secrets (Book 2)
Max,2025-05-28 13:41:13,searched,Last Chance Saloon
Max,2025-05-28 13:41:18,searched,Last Chance Saloon
Max,2025-05-28 13:41:18,liked,Jacob Have I Loved
Max,2025-05-28 13:41:29,searched,Last Chance Saloon
Max,2025-05-28 13:41:29,liked,No Safe Place
Alex,2025-05-28 13:52:30,searched,"The Gunslinger (The Dark Tower, Book 1)"
Alex,2025-05-28 13:53:00,searched,"The Gunslinger (The Dark Tower, Book 1)"
Alex,2025-05-28 13:53:00,liked,Last Man Standing
Alex,2025-05-28 14:08:40,searched,Wuthering Heights
Alex,2025-05-28 14:08:53,searched,Wuthering Heights
Alex,2025-05-28 14:08:53,liked,Hearts in Atlantis
Alex,2025-05-28 14:09:22,searched,Wuthering Heights
Alex,2025-05-28 14:09:22,liked,Pleading Guilty
Max,2025-05-28 14:10:16,searched,Wish You Well
Max,2025-05-28 14:10:25,searched,Wish You Well
Max,2025-05-28 14:11:06,searched,Zoya
Max,2025-05-28 14:11:17,searched,Zoya
Max,2025-05-28 14:11:17,liked,Fine Things
Max,2025-05-28 14:15:23,searched,Nicolae: The Rise of Antichrist (Left Behind No. 3)
Max,2025-05-28 14:16:08,searched,Before I Say Good-Bye
Max,2025-05-28 14:16:21,searched,Before I Say Good-Bye
Max,2025-05-28 14:16:24,searched,Before I Say Good-Bye
Max,2025-05-28 14:16:37,searched,Before I Say Good-Bye
Max,2025-05-28 14:16:37,liked,Let Me Call You Sweetheart
Max,2025-05-28 14:16:45,searched,Before I Say Good-Bye
Max,2025-05-28 14:16:56,searched,Before I Say Good-Bye
Max,2025-05-28 14:16:56,liked,My Gal Sunday
Max,2025-05-28 14:16:57,searched,Before I Say Good-Bye
Max,2025-05-28 14:16:57,liked,Winter Moon
Max,2025-05-28 14:16:58,searched,Before I Say Good-Bye
Max,2025-05-28 14:17:04,searched,Before I Say Good-Bye
Max,2025-05-28 14:17:13,searched,Before I Say Good-Bye
Max,2025-05-28 14:17:16,searched,Before I Say Good-Bye
Max,2025-05-28 14:17:18,searched,Before I Say Good-Bye
Max,2025-05-28 14:17:20,searched,Before I Say Good-Bye
Max,2025-05-28 14:17:58,searched,Before I Say Good-Bye
Max,2025-05-28 14:18:08,searched,Before I Say Good-Bye
Max,2025-05-28 14:18:08,searched,Before I Say Good-Bye
Max,2025-05-28 14:18:12,searched,Before I Say Good-Bye
Max,2025-05-28 14:18:47,searched,Before I Say Good-Bye
Max,2025-05-28 14:18:51,searched,Before I Say Good-Bye
Max,2025-05-28 14:19:05,searched,Before I Say Good-Bye
Max,2025-05-28 14:19:07,searched,Before I Say Good-Bye
Max,2025-05-28 14:19:13,searched,Before I Say Good-Bye
Max,2025-05-28 14:19:15,searched,Before I Say Good-Bye
Max,2025-05-28 14:19:18,searched,Before I Say Good-Bye
Max,2025-05-28 14:19:20,searched,Before I Say Good-Bye
Max,2025-05-28 14:19:22,searched,Before I Say Good-Bye
Max,2025-05-28 14:19:24,searched,Before I Say Good-Bye
Max,2025-05-28 14:19:25,searched,Before I Say Good-Bye
Max,2025-05-28 14:19:26,searched,Before I Say Good-Bye
Max,2025-05-28 14:19:27,searched,Before I Say Good-Bye
Max,2025-05-28 14:19:28,searched,Before I Say Good-Bye
Max,2025-05-28 14:19:29,searched,Before I Say Good-Bye
Max,2025-05-28 14:19:33,searched,Before I Say Good-Bye
Alazar,2025-05-28 14:20:26,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:20:58,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:20:58,liked,Sleepers
Alazar,2025-05-28 14:21:04,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:21:05,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:21:08,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:21:15,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:21:20,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:21:21,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:21:22,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:21:24,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:21:29,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:21:30,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:21:31,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:21:37,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:21:38,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:21:39,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:21:41,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:21:44,searched,Everything's Eventual : 14 Dark Tales
Alazar,2025-05-28 14:21:59,searched,2nd Chance
Alazar,2025-05-28 14:22:07,searched,A Man in Full
Alazar,2025-05-28 14:22:12,searched,A Man in Full
Alazar,2025-05-28 14:22:12,liked,Absolute Power
Alazar,2025-05-28 14:22:15,searched,A Man in Full
Alazar,2025-05-28 14:22:16,searched,A Man in Full
Alazar,2025-05-28 14:22:18,searched,A Man in Full
Max,2025-05-28 20:35:46,searched,Harry Potter and the Chamber of Secrets (Book 2)
Max,2025-05-28 20:36:01,searched,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback))
Max,2025-05-28 20:36:10,searched,Harry Potter and the Order of the Phoenix (Book 5)
Max,2025-05-28 20:36:37,searched,Harry Potter and the Order of the Phoenix (Book 5)
Max,2025-05-28 20:36:45,searched,Harry Potter and the Order of the Phoenix (Book 5)
Max,2025-05-28 20:36:48,searched,Harry Potter and the Order of the Phoenix (Book 5)
Max,2025-05-28 20:36:52,searched,Harry Potter and the Order of the Phoenix (Book 5)
Max,2025-05-28 20:36:58,searched,Harry Potter and the Order of the Phoenix (Book 5)
Alex,2025-05-29 08:41:03,searched,Harry Potter and the Chamber of Secrets (Book 2)
Alex,2025-05-29 08:41:16,searched,Harry Potter and the Goblet of Fire (Book 4)
